Order,Command,keyword_en,answers_en,keyword_es,answers_es
0,!greeting,,"Welcome, {}, systems are ready",,"Bienvenido, {}, sistemas inicializados exitosamente"
1,!weather,how is weather;what weather like,Weather.com says: It is {} and {} degree celcius now in {},como esta clima;estado clima;temperatura,Weather.com dice que esta {} y que hacen {} grados.
2,!browser,open browser;open the browser,Opening the browser,abri internet,Abriendo el navegador.
3,!wiki,define,"There was an error, could you be more specific?",defini,Hubo un error. Podria ser mas especifico?
4,!time,time,The time is ,tiempo,La hora es 
5,!sleep,sleep,Goodbye! Have a great day!,dormir,Hasta luego!
6,!music,play music;music,Now playing {};No music files found,reproduci musica,
7,!music_specific,play,Song wasn't find,reproduci musica,
8,!music_shuffle,party time;party mix,Now playing {};No music files found.,mix de fiesta,
9,!write_note,note,Your note has been saved.,nota,
10,!read_note,read notes,Your notes are as follows:,lee notas,
11,!conv_who,who are you,"I am {}, your lovely personal assistant;{}, didn't I tell you before?;You ask so many times! I am {}",quien sos,"Yo soy {}, su asistente personal;{}, no te acordas?"
12,!conv_how,how i look;how am i,You are goddamn handsome;!My knees go weak when I see you;You look well,como me veo;como estoy,Hoy te ves muy atractivo.
13,!conv_joke,tell joke,This is a joke;This are more joke answers,conta chiste,Esto deberia ser un chiste
14,!conv_who_am_i,who am i,"You are {}, a brilliant person!",quien soy,Vos sos {}. Un idolo de la vida
15,!conv_born,where born,"I was created by a maigician named Javier, in Buenos Aires, Argentina.",donde naciste;donde crearon,"Fue creado por Javier Bullrich, un gran Argentino."
16,!conv_how_are_you,how are you,"I am fine, thank you!;I am having a great day today!",como estas,"Estoy bien, gracias!"
17,!undefined,,I don't know what that means!,,No se lo que eso significa.
